title,slug,kind,canonical_id,reality_tier,literalness,provider_targets,priority,labels,description
Detect Magic (spell),detect-magic,spell,spell-detect-magic,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Detect Magic
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Surface hidden AI affordances, agents, automations, and tool hooks before acting.

## Current Interpretation

Use this skill when you need a fast, structured scan for where the real magic is hiding in a repo, workflow, or system.

## Default Invocation

Use $detect-magic to scan this repo for hidden AI tooling, agents, MCP servers, and automation hooks before we change anything.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Detect Thoughts (spell),detect-thoughts,spell,spell-detect-thoughts,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Detect Thoughts
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Surface the likely intent, priorities, and concerns behind a communication.

## Current Interpretation

In D&D, Detect Thoughts lets you read surface thoughts and probe deeper. The real-world version is intent analysis: figuring out what someone is trying to accomplish based on what they said, how they said it, and what they chose not to say. This is the analytical complement to Insight (which reads subtext intuitively) — Detect Thoughts is more structured and systematic.

## Default Invocation

Use $detect-thoughts to analyze this [message/brief/request]. What are the real priorities, concerns, and intent behind what was said?

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Dimension Door (spell),dimension-door,spell,spell-dimension-door,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Dimension Door
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Jump cleanly between two known contexts without dragging the whole room.

## Current Interpretation

Dimension Door is the quick-switch spell: branch to branch, environment to environment, project to project. It is not a migration and it is not discovery. It assumes both endpoints are known, prepared, and close enough in shape that you can step across with only the context you actually need.

## Default Invocation

Use $dimension-door to help me jump between these two known contexts with only the state I actually need to carry.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Disguise Self (spell),disguise-self,spell,spell-disguise-self,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Disguise Self
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Adapt voice, tone, or presentation for a specific audience without changing the underlying substance.

## Current Interpretation

Use this spell when the content is correct but the delivery needs to change — a technical document for executives, formal prose turned casual, developer docs rewritten as user-facing help.

## Default Invocation

Use $disguise-self to rewrite this for the target audience without changing what it actually says.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Dispel Magic (spell),dispel-magic,spell,spell-dispel-magic,shipping-now,literal,openai|claude|openclaw,2,ai|type:feature|automation|security,"## Spellbook Entry

- Kind: spell
- Canonical source: Dispel Magic
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: literal
- Provider targets: openai, claude, openclaw

## Tagline

Safely decommission active automations, agents, monitors, and integrations.

## Current Interpretation

Use this spell when you need to cleanly shut down, disable, or remove active AI tooling — the reverse of Detect Magic.

## Default Invocation

Use $dispel-magic to safely shut down this automation and confirm nothing is left running that shouldn't be.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Dominate Monster (spell),dominate-monster,spell,spell-dominate-monster,prototype,literal,openai|claude,4,ai|type:feature|architecture|security,"## Spellbook Entry

- Kind: spell
- Canonical source: Dominate Monster
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: literal
- Provider targets: openai, claude

## Tagline

Seize total control of a complex system without its consent. We do not cast this spell.

## Current Interpretation

Dominate Monster is Dominate Person scaled up to any creature. The real-world analog would be unauthorized takeover of complex systems — rootkits, supply-chain attacks, infrastructure hijacking. Like Dominate Person, this entry exists to name what the spellbook will not build. Legitimate system control requires authorization, audit trails, and the ability for the controlled system to revoke access. If you need authorized automation, see the device and orchestration spells.

## Default Invocation

Use $dominate-monster to evaluate whether this system-control request constitutes unauthorized takeover, and redirect to authorized alternatives.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Dominate Person (spell),dominate-person,spell,spell-dominate-person,speculative,literal,openai|claude,4,ai|type:feature|architecture|security,"## Spellbook Entry

- Kind: spell
- Canonical source: Dominate Person
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: speculative
- Literalness: literal
- Provider targets: openai, claude

## Tagline

Override another agent's autonomy and control their actions directly. We do not cast this spell.

## Current Interpretation

Dominate Person is the spell that takes total control of another creature's actions. There is no ethical real-world analog for an AI skill that overrides human autonomy. This entry exists to be explicit about what the spellbook refuses to build. The closest real-world patterns — unauthorized remote access, social engineering for control, dark-pattern UX that removes meaningful choice — are all things this project treats as out of scope permanently, not as future features. If you are looking for legitimate influence, see Suggestion or Persuasion. If you need system-level control, see the device and automation spells, which require explicit consent and safety gates.

## Default Invocation

Use $dominate-person to evaluate whether this request crosses the line from influence into coercion, explain why, and redirect to a non-coercive alternative.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Dream (spell),dream,spell,spell-dream,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Dream
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Deliver the briefing before the recipient wakes up needing it.

## Current Interpretation

Dream is asynchronous insight delivery timed to the receiver's readiness rather than the sender's convenience. It covers overnight reports, pre-meeting briefings, dawn digests, and other messages that should arrive as ambient context before work begins. The spell's magic is timing plus framing: the receiver wakes up to the answer, not a pile of raw events. It works best when the message feels prepared, quiet, and exactly on time. It fails when it becomes another noisy alert stream wearing a moonlit costume.

## Default Invocation

Use $dream to create an async briefing that arrives at the right future moment, already distilled for the person who will wake up to it.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Enhance Ability (spell),enhance-ability,spell,spell-enhance-ability,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Enhance Ability
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Load the right context so the next task starts stronger than cold.

## Current Interpretation

Use this spell to apply a temporary, task-specific boost: priming a reviewer with the right files, warming caches before a demo, or loading domain context before a meeting. It improves the next move by front-loading exactly the capability the moment requires, not by pretending the system is globally smarter.

## Default Invocation

Use $enhance-ability to prime this system for the next task and tell me exactly what advantage the prep creates.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Enthrall (spell),enthrall,spell,spell-enthrall,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Enthrall
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Capture and hold an audience's attention through compelling structure.

## Current Interpretation

Enthrall makes an audience hang on every word. The real-world version is structural engagement: opening hooks that stop the scroll, narrative arcs that sustain attention, and pacing that makes people stay until the end. This is presentation design, content structure, and the craft of making something worth finishing.

## Default Invocation

Use $enthrall to restructure this [presentation/article/demo] so the audience stays hooked from the opening line to the close.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Etherealness (spell),etherealness,spell,spell-etherealness,prototype,metaphorical,openai|claude|openclaw,4,ai|type:feature|automation|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Etherealness
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Walk through the walls of a system without leaving fingerprints.

## Current Interpretation

Etherealness is read-only ghost mode for systems you need to study without disturbing. It maps to shadow environments, dry runs, read replicas, mirrored traffic, and observational tooling that lets you see behavior without becoming part of it. The promise is visibility with minimal touch, not perfect impossibility of side effects.

## Default Invocation

Use $etherealness to show me how to inspect this system in read-only ghost mode and tell me what that view can and cannot prove.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Eyebite (spell),eyebite,spell,spell-eyebite,prototype,metaphorical,openai|claude,4,ai|type:feature|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Eyebite
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: metaphorical
- Provider targets: openai, claude

## Tagline

Fix your attention on a target and selectively degrade its capabilities.

## Current Interpretation

In D&D, Eyebite lets you focus on one creature per turn and inflict sleep, panic, or sickness through sustained eye contact. The real-world version is targeted capability reduction: focused analysis that identifies and disables specific functions of a system, service, or adversary. Feature flagging a dangerous capability off. Selectively throttling a misbehaving API consumer. Disabling specific attack vectors during an incident. Eyebite requires sustained focus on a single target — it is not a broadcast weapon.

## Default Invocation

Use $eyebite to selectively degrade a specific capability of a system or service while keeping the rest operational.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Faerie Fire (spell),faerie-fire,spell,spell-faerie-fire,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Faerie Fire
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Make hidden things visible by highlighting, tagging, and marking them for attention.

## Current Interpretation

In D&D, Faerie Fire outlines invisible creatures in light, making them visible and easier to hit. The real-world version is the highlighter spell: annotating code with markers, tagging items in a dataset for review, adding visual indicators to dashboards that surface hidden patterns, or marking elements in a document so others can see what you see. Faerie Fire does not find hidden things (that is Detect Magic or See Invisibility) — it makes already-found things impossible to overlook.

## Default Invocation

Use \$faerie-fire to highlight the most important [findings/patterns/elements] in this [document/codebase/dataset] so they cannot be overlooked.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Fear (spell),fear,spell,spell-fear,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Fear
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Amplify worst-case scenarios to surface risks that optimism hides.

## Current Interpretation

Fear makes targets run from danger. The real-world version is structured pessimism: pre-mortem analysis, worst-case scenario generation, and risk amplification exercises that counteract the natural optimism bias in planning. Fear is the antidote to ""it'll probably be fine.""

## Default Invocation

Use $fear to run a pre-mortem on this [plan/project/decision]. Assume it failed — tell me why, ranked by likelihood.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Feather Fall (spell),feather-fall,spell,spell-feather-fall,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Feather Fall
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Turn a hard crash into a controlled descent.

## Current Interpretation

Feather Fall is the spell for bad situations that are already in motion. A deploy is going sideways, a service is thrashing, a queue is backing up, or an integration is failing faster than the humans can think. Instead of pretending you can teleport back to normal instantly, you slow the fall: circuit breakers, degraded modes, load shedding, safe defaults, and graceful shutdown paths. The point is not elegance. The point is buying time without multiplying damage. A good Feather Fall plan makes failure survivable and visible enough to recover from.

## Default Invocation

Use $feather-fall to design the fastest safe descent for this failing deploy, service, or workflow, including what should degrade first.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Feeblemind (spell),feeblemind,spell,spell-feeblemind,prototype,metaphorical,openai|claude,4,ai|type:feature|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Feeblemind
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: metaphorical
- Provider targets: openai, claude

## Tagline

Strip a system down to minimal capability when full power is too dangerous.

## Current Interpretation

In D&D, Feeblemind crushes a creature's Intelligence and Charisma to near-zero — leaving them alive but barely functional. The real-world version is deliberate capability reduction: putting a system into safe mode, stripping an overpowered tool down to basic functions, reducing attack surface by removing features. Feeblemind is not punishment — it is the recognition that sometimes a system at full capability is more dangerous than a system at reduced capability. Restricted shells, read-only modes, feature-stripped emergency interfaces.

## Default Invocation

Use $feeblemind to reduce a system to minimal capability — stripping non-essential features to limit risk while preserving core function.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Find the Path (spell),find-the-path,spell,spell-find-the-path,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Find the Path
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Find the shortest, safest route to a destination through a complex space.

## Current Interpretation

In D&D, Find the Path reveals the shortest route to a destination, even through mazes and across planes. The real-world version is wayfinding through complexity: navigating a sprawling codebase to find where a change should go, plotting the fastest path through a bureaucratic process, mapping the decision tree to get from current state to desired state, or finding the critical path through a project dependency graph.

## Default Invocation

Use $find-the-path to map the route from where I am now to this [goal/destination/state]. Give me turn-by-turn steps and flag the biggest risk.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Forcecage (spell),forcecage,spell,spell-forcecage,prototype,literal,openai|claude,4,ai|type:feature|architecture|security,"## Spellbook Entry

- Kind: spell
- Canonical source: Forcecage
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: literal
- Provider targets: openai, claude

## Tagline

Contain untrusted code, agents, or operations inside an isolated sandbox with no escape.

## Current Interpretation

Use this spell when you need to run something you do not fully trust — untrusted code, an experimental agent, a destructive operation — inside a containment boundary that prevents it from affecting the outside.

## Default Invocation

Use $forcecage to run this in a contained sandbox and tell me whether it behaved safely before I trust it outside.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Foresight (spell),foresight,spell,spell-foresight,shipping-now,metaphorical,openai|claude,3,ai|type:feature,"## Spellbook Entry

- Kind: spell
- Canonical source: Foresight
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude

## Tagline

Estimate likely outcomes before committing to a plan, change, or launch.

## Current Interpretation

Use this skill when you need a bounded forecast with explicit uncertainty, not mystical certainty.

## Default Invocation

Use $foresight to evaluate this decision, give me the likely upside and downside, and tell me what would change your call.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Freedom of Movement (spell),freedom-of-movement,spell,spell-freedom-of-movement,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Freedom of Movement
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Cut the nets around a stuck workflow.

## Current Interpretation

Freedom of Movement is for processes that should be moving but are caught in glue: locked files, blocked ports, circular dependencies, wedged jobs, or permissions that almost work. The skill is about diagnosing the restraint, then removing or routing around it without tearing the whole system apart. It favors unblocking over brute force.

## Default Invocation

Use $freedom-of-movement to diagnose what is binding this workflow and show me the safest way to clear it.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Geas (spell),geas,spell,spell-geas,prototype,hybrid,openai|claude,4,ai|type:feature|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Geas
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: hybrid
- Provider targets: openai, claude

## Tagline

Bind a long-term obligation that persists and enforces itself over time.

## Current Interpretation

Geas compels a creature to follow a command for 30 days or suffer consequences. The real-world analog is enforced long-term obligation: SLA commitments that automatically penalize violations, compliance frameworks that persist across sessions, or governance rules that cannot be casually overridden. The coercive nature of self-enforcing obligations makes this inherently risky.

## Default Invocation

Use $geas to evaluate whether this long-term obligation is a legitimate commitment or a coercive binding, and draft it as a contract if appropriate.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Glibness (spell),glibness,spell,spell-glibness,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Glibness
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Make any argument sound maximally credible and polished.

## Current Interpretation

Glibness makes everything you say sound utterly convincing. The real-world version is rhetorical polish: taking a position and presenting it with maximum confidence, fluency, and persuasive structure. This is the skill of the trial lawyer, the pitch artist, the keynote speaker who makes mediocre ideas sound inevitable.

## Default Invocation

Use $glibness to make this [pitch/proposal/argument] sound as credible and polished as possible, and flag anywhere the polish is hiding a real weakness.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Glyph of Warding (spell),glyph-of-warding,spell,spell-glyph-of-warding,shipping-now,literal,openai|claude|openclaw,2,ai|type:feature|automation|security,"## Spellbook Entry

- Kind: spell
- Canonical source: Glyph of Warding
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: literal
- Provider targets: openai, claude, openclaw

## Tagline

Set monitors, watches, or trigger conditions that alert when a boundary is crossed.

## Current Interpretation

Use this skill when you need a watchful boundary around files, systems, metrics, queues, or workflows.

## Default Invocation

Use $glyph-of-warding to define a watch or alert around this workflow and make the trigger conditions explicit.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Greater Invisibility (spell),greater-invisibility,spell,spell-greater-invisibility,prototype,metaphorical,openai|claude|openclaw,4,ai|type:feature|automation|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Greater Invisibility
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Keep moving while the audience barely notices the stagehands.

## Current Interpretation

Greater Invisibility covers live work performed with reduced observability: silent deploys, zero-downtime migrations, background reindexing, and backfills that avoid user-facing turbulence. The distinction from ordinary Invisibility is that action continues while the footprint stays deliberately subdued. That makes it useful and easy to misuse, so the operator view has to remain explicit even when the audience view stays calm.

## Default Invocation

Use $greater-invisibility to plan a live change that stays quiet to users while preserving the operator signals we still need.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Greater Restoration (spell),greater-restoration,spell,spell-greater-restoration,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Greater Restoration
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Undo deep corruption and restore a system degraded by accumulated damage.

## Current Interpretation

In D&D, Greater Restoration ends charm, petrification, curses, ability score reductions, and hit point maximum reductions — the serious, long-term ailments. The real-world version is deep system recovery: unfucking a database that has been gradually corrupted, restoring a codebase that has accumulated technical debt to the point of dysfunction, or recovering from a long-running misconfiguration that has silently degraded performance.

## Default Invocation

Use $greater-restoration to assess this [system/codebase/database] for accumulated damage and design a comprehensive restoration plan.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Guards and Wards (spell),guards-and-wards,spell,spell-guards-and-wards,prototype,hybrid,openai|claude,4,ai|type:feature|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Guards and Wards
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: hybrid
- Provider targets: openai, claude

## Tagline

Layer many small defenses into a maze that exhausts intruders before they reach anything valuable.

## Current Interpretation

In D&D, Guards and Wards fills an area with layered minor defenses — fog, locked doors, illusory walls, confusion effects — that individually are trivial but collectively make navigation exhausting. The real-world version is defense in depth through volume: honeypots mixed with real services, rotating credentials alongside decoy credentials, overlapping rate limiters and CAPTCHAs and behavioral analysis and IP reputation checks. No single ward stops a determined attacker. The maze does.

## Default Invocation

Use $guards-and-wards to perform a full security audit of this system and prioritize what needs hardening first.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Hallucinatory Terrain (spell),hallucinatory-terrain,spell,spell-hallucinatory-terrain,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Hallucinatory Terrain
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Overlay a different reality onto an existing environment for testing or training.

## Current Interpretation

In D&D, Hallucinatory Terrain makes natural terrain look like a different kind of terrain — a field appears as a forest, a hill appears as a valley. The underlying terrain is unchanged; only the perception shifts. The real-world version is environment staging: test environments styled to look like production, sandbox databases seeded with realistic data, training simulations that overlay a learning scenario onto real infrastructure. Hallucinatory Terrain does not change the real system. It changes how the system appears so you can test, train, or demo safely.

## Default Invocation

Use $hallucinatory-terrain to create a staged environment that overlays realistic synthetic content onto safe infrastructure for testing, training, or demo purposes.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Healing Word (spell),healing-word,spell,spell-healing-word,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Healing Word
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Send a quick fix from a distance without being fully hands-on.

## Current Interpretation

In D&D, Healing Word heals at range with a bonus action — fast, remote, and efficient but less powerful than Cure Wounds. The real-world version is the remote quick fix: a one-liner command, a config change pushed through a dashboard, a quick Slack instruction to the person on-call, or an automated rollback trigger. You do not need to be deep in the system to apply this fix.

## Default Invocation

Use $healing-word to give me a quick, executable fix for this [issue/error/problem] that I can apply without deep investigation.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Heat Metal (spell),heat-metal,spell,spell-heat-metal,prototype,hybrid,openai|claude,4,ai|type:feature|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Heat Metal
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: hybrid
- Provider targets: openai, claude

## Tagline

Make a tool or process increasingly uncomfortable to use until it is abandoned.

## Current Interpretation

In D&D, Heat Metal makes a metal object painfully hot — the creature holding it must either endure the pain or drop it. The real-world version is deliberate friction injection: making a deprecated API progressively slower, adding escalating CAPTCHAs to suspicious traffic, increasing the cost of a bad behavior path until the actor self-selects out. Heat Metal does not break the tool. It makes continuing to use it more painful than switching to the alternative. This is the spell behind deprecation-by-discomfort, progressive rate limiting, and sunset friction curves.

## Default Invocation

Use $heat-metal to design a progressive friction strategy that makes a deprecated tool, abusive pattern, or unwanted behavior increasingly uncomfortable until users migrate to the better alternative.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Heroism (spell),heroism,spell,spell-heroism,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Heroism
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Build courage and temporary resilience before walking into something hard.

## Current Interpretation

In D&D, Heroism grants temporary hit points and immunity to fear — you do not become stronger, you become harder to stop. The real-world version is the preparation ritual: the pre-presentation pep talk, the pre-launch checklist that calms the team, the structured confidence-building exercise before a difficult conversation. Heroism does not change your abilities. It changes your relationship to the fear of using them.

## Default Invocation

Use $heroism to prepare me for this [presentation/conversation/launch/decision]. Name what scares me, reality-check it, and give me a preparation plan.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Hold Monster (spell),hold-monster,spell,spell-hold-monster,prototype,hybrid,openai|claude,4,ai|type:feature|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Hold Monster
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: hybrid
- Provider targets: openai, claude

## Tagline

Freeze a large-scale system or service as an emergency circuit breaker.

## Current Interpretation

Hold Monster is Hold Person scaled to larger targets. The real-world version is the emergency circuit breaker: halting an entire service, freezing a deployment pipeline, or stopping a runaway process at the infrastructure level. This is the big red button — it stops everything, and it should only be pressed when the alternative is worse.

## Default Invocation

Use $hold-monster to design an emergency circuit breaker for this [system/service/pipeline] with freeze scope and recovery plan.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
